FactorRank,Team,EFG,OPPEFG,TOVPCT,OPPTOV,ORB,DRB,OPPORB,OPPDRB,FTR,OPPFTR,EFGTOTAL,TOVTOTAL,REBSUM,OPPREBSUM,REBTOTAL,FTRTOTAL,Dec,FourFactors
1,Ohio State,57.90%,39.00%,17.30%,19.70%,33.60%,75.90%,24.10%,66.40%,0.407,0.257,0.0756,-0.006,109.50%,90.50%,0.038,0.0225,0.1421,14.21
2,Gonzaga,56.30%,47.20%,15.40%,20.30%,33.70%,81.20%,18.80%,66.30%,0.355,0.213,0.0364,-0.01225,114.90%,85.10%,0.0596,0.0213,0.12955,12.955
3,Indiana,54.30%,47.40%,18.70%,21.10%,35.70%,79.40%,20.60%,64.30%,0.512,0.339,0.0276,-0.006,115.10%,84.90%,0.0604,0.02595,0.11995,11.995
4,Illinois,52.50%,48.10%,21.20%,17.00%,41.10%,78.70%,21.30%,58.90%,0.395,0.187,0.0176,0.0105,119.80%,80.20%,0.0792,0.0312,0.1175,11.75
5,Kentucky,51.50%,41.50%,17.30%,17.80%,30.80%,79.00%,21.00%,69.20%,0.431,0.211,0.04,-0.00125,109.80%,90.20%,0.0392,0.033,0.11345,11.345
6,Houston,53.10%,47.00%,16.70%,16.30%,41.60%,80.70%,19.30%,58.40%,0.368,0.386,0.0244,0.001,122.30%,77.70%,0.0892,-0.0027,0.1099,10.99
7,Auburn,55.30%,46.40%,18.20%,19.60%,34.70%,76.60%,23.40%,65.30%,0.386,0.218,0.0356,-0.0035,111.30%,88.70%,0.0452,0.0252,0.1095,10.95
8,Kansas,57.80%,43.60%,19.50%,19.30%,29.90%,77.30%,22.70%,70.10%,0.399,0.273,0.0568,0.0005,107.20%,92.80%,0.0288,0.0189,0.104,10.4
9,Tennessee,50.60%,41.10%,19.90%,19.80%,31.20%,79.90%,20.10%,68.80%,0.4,0.268,0.038,0.00025,111.10%,88.90%,0.0444,0.0198,0.10195,10.195
10,Utah State,50.90%,44.40%,15.50%,19.30%,29.40%,81.40%,18.60%,70.60%,0.407,0.253,0.026,-0.0095,110.80%,89.20%,0.0432,0.0231,0.1018,10.18
11,LSU,57.30%,45.10%,20.10%,19.20%,35.30%,74.40%,25.60%,64.70%,0.335,0.248,0.0488,0.00225,109.70%,90.30%,0.0388,0.01305,0.0984,9.84
12,Duke,52.30%,47.00%,18.70%,23.10%,35.10%,78.00%,22.00%,64.90%,0.371,0.299,0.0212,-0.011,113.10%,86.90%,0.0524,0.0108,0.0954,9.54
13,Maryland,48.80%,44.00%,16.70%,19.30%,33.80%,77.90%,22.10%,66.20%,0.383,0.239,0.0192,-0.0065,111.70%,88.30%,0.0468,0.0216,0.0941,9.41
14,Arizona,56.90%,44.20%,16.90%,23.20%,30.50%,73.90%,26.10%,69.50%,0.421,0.366,0.0508,-0.01575,104.40%,95.60%,0.0176,0.00825,0.0924,9.24
15,Louisville,55.10%,41.10%,18.20%,16.40%,31.00%,76.50%,23.50%,69.00%,0.331,0.259,0.056,0.0045,107.50%,92.50%,0.03,0.0108,0.0923,9.23
16,Utah,58.50%,47.40%,17.60%,17.40%,26.00%,78.40%,21.60%,74.00%,0.395,0.198,0.0444,0.0005,104.40%,95.60%,0.0176,0.02955,0.09105,9.105
17,Miss State,56.10%,47.80%,23.50%,19.50%,38.80%,72.90%,27.10%,61.20%,0.376,0.236,0.0332,0.01,111.70%,88.30%,0.0468,0.021,0.091,9.1
